name,subCategoryId,categoryId,decription,metaTitle,keywords,teluguLabel
Overseas Cinema,abn-0901,abn-0900, , , , 
America Nagarallo,abn-0902,abn-0900, , , , 
Gulf lekha,abn-0903,abn-0900, , , , 
Videsi Winner,abn-0904,abn-0900, , , , 
News,abn-0905,abn-0900, , , , 
Viral,abn-1001,abn-1000, , , , 
Devotional,abn-1002,abn-1000, , , , 
NRI,abn-1003,abn-1000, , , , 
Sports,abn-1004,abn-1000, , , , 
Andhra Pradesh,abn-1005,abn-1000, , , , 
Telangana,abn-1006,abn-1000, , , , 
National,abn-1007,abn-1000, , , , 
Cinema Events,abn-1008,abn-1000, , , , 
Cinema Stills,abn-1009,abn-1000, , , , 
Film Personalities,abn-1010,abn-1000, , , , 
ABN Videos,abn-1101,abn-1100, , , , 
Weekend comment by RK,abn-1102,abn-1100, , , , 
ABN Indian Kitchen,abn-1103,abn-1100, , , , 
ABN Entertainment,abn-1104,abn-1100, , , , 
Top Stories,abn-1105,abn-1100, , , , 
Open Heart with RK videos,abn-1106,abn-1100, , , , 
ABN Devotional,abn-1107,abn-1100, , , , 
The Debate With VK,abn-1108,abn-1100, , , , 
Meenam,abn-1201,abn-1200, , , , 
Kumbham,abn-1202,abn-1200, , , , 
Makaram,abn-1203,abn-1200, , , , 
Dhanassu,abn-1204,abn-1200, , , , 
Vruschikam,abn-1205,abn-1200, , , , 
Tula,abn-1206,abn-1200, , , , 
Kanya,abn-1207,abn-1200, , , , 
Simha,abn-1208,abn-1200, , , , 
Karkatakam,abn-1209,abn-1200, , , , 
Mithunam,abn-1210,abn-1200, , , , 
Vrushabam,abn-1211,abn-1200, , , , 
Mesham,abn-1212,abn-1200, , , , 
Panchangam,abn-1213,abn-1200, , , , 
Vegetarian,abn-1301,abn-1300, , , , 
Non Vegetarian,abn-1302,abn-1300, , , , 
Desserts,abn-1303,abn-1300, , , , 
Pickles,abn-1304,abn-1300, , , , 
Festive Specials,abn-1305,abn-1300, , , , 
Tips,abn-1306,abn-1300, , , , 
Politicians,abn-1401,abn-1400, , , , 
Poets and Novelists,abn-1402,abn-1400, , , , 
Business Personalities,abn-1403,abn-1400, , , , 
Cinema Celebrities,abn-1404,abn-1400, , , , 
Sports and Others,abn-1405,abn-1400, , , , 
Authors and Artists,abn-1406,abn-1400, , , , 
Bureaucrats and Businessmen,abn-1407,abn-1400, , , , 
News,abn-1501,abn-1500, , , , 
Ayurveda,abn-1502,abn-1500, , , , 
Homeo,abn-1503,abn-1500, , , , 
Yoga,abn-1504,abn-1500, , , , 
Fitness,abn-1505,abn-1500, , , , 
News,abn-1601,abn-1600, , , , 
Diksuchi,abn-1602,abn-1600, , , , 
Employment,abn-1603,abn-1600, , , , 
Important Links,abn-1604,abn-1600, , , , 
News,abn-1801,abn-1800, , , , 
Crime Scene,abn-1802,abn-1800, , , , 
Legal,abn-1803,abn-1800, , , , 
